NUTS code,x1997,GVA_%_1997,x1998,GVA_%_1998,x1999,GVA_%_1999,x2000,GVA_%_2000,x2001,GVA_%_2001,x2002,GVA_%_2002,x2003,GVA_%_2003,x2004,GVA_%_2004,x2005,GVA_%_2005,x2006,GVA_%_2006,x2007,GVA_%_2007,x2008,GVA_%_2008,x2009,GVA_%_2009,x2010,GVA_%_2010,x2011,GVA_%_2011,x2012,GVA_%_2012,x2013,GVA_%_2013,x2014,GVA_%_2014,x2015,GVA_%_2015,x2016,GVA_%_2016,x2017,GVA_%_2017,Percentage_change
UKE12,11806,80.29,12018,78.69,11661,74,12186,73.46,12736,74.15,13648,76.1,14190,75.06,15410,78.24,15430,74.51,15775,72.64,16128,71.24,16526,71.47,17335,77.09,16635,73.03,16202,69.83,16977,71.39,17160,69.92,17544,68.85,18201,70.04,18975,70.94,18993,69.24,-11.05
UKJ26,17886,121.64,19058,124.78,20620,130.85,21714,130.9,22183,129.16,23244,129.61,24213,128.08,24348,123.62,25432,122.81,27252,125.48,28467,125.74,28976,125.31,27574,122.63,27449,120.5,27373,117.98,29003,121.96,29968,122.11,30094,118.11,30548,117.55,30502,114.03,30725,112.01,-9.63
UKJ22,11885,80.83,11774,77.09,11883,75.41,12493,75.31,13027,75.85,13613,75.91,13949,73.78,14393,73.08,14787,71.4,15679,72.19,15682,69.27,16788,72.6,15951,70.94,16105,70.7,16195,69.8,16764,70.5,17067,69.54,17597,69.06,18790,72.31,18941,70.81,19321,70.44,-10.39
UKI54,12539,85.28,13201,86.43,13564,86.08,13940,84.04,14156,82.42,14669,81.79,15621,82.63,16348,83,17120,82.67,17835,82.12,18822,83.14,18532,80.14,17525,77.94,17654,77.5,17550,75.64,18434,77.52,18726,76.3,18957,74.4,18928,72.84,18798,70.28,19822,72.26,-13.01
UKH34,12109,82.35,12429,81.38,12451,79.01,13137,79.2,13842,80.59,14318,79.84,15613,82.59,15844,80.44,16336,78.88,17247,79.41,17955,79.31,17976,77.74,16994,75.58,17675,77.59,17822,76.81,18017,75.77,18418,75.05,19457,76.36,19583,75.36,19649,73.46,20357,74.21,-8.14
UKH37,11834,80.48,12173,79.7,12168,77.22,12911,77.83,13558,78.94,14020,78.18,15266,80.75,15587,79.14,16126,77.87,17047,78.49,17882,78.98,18084,78.2,17166,76.34,17496,76.81,17717,76.36,18152,76.33,18609,75.83,19124,75.05,19849,76.38,19101,71.41,19629,71.56,-8.92
UKK13,14347,97.57,14735,96.48,15232,96.66,16175,97.51,16670,97.06,17663,98.49,19152,101.31,20120,102.15,20126,97.18,20465,94.23,21705,95.87,21650,93.63,21576,95.95,22245,97.66,22491,96.94,23246,97.75,23928,97.5,25340,99.45,25626,98.61,25864,96.69,26712,97.38,-0.19
UKD37,10023,68.17,10510,68.81,10960,69.55,10993,66.27,11393,66.33,11869,66.18,12640,66.86,12868,65.33,13655,65.94,14449,66.53,14776,65.27,14704,63.59,14295,63.57,14373,63.1,14528,62.62,15162,63.76,15469,63.03,15706,61.64,16591,63.84,17071,63.82,17190,62.67,-5.5
UKD36,9909,67.39,10399,68.09,10850,68.85,10924,65.85,11313,65.87,11743,65.48,12414,65.67,12698,64.47,13508,65.23,14261,65.66,14648,64.7,14782,63.92,14214,63.21,14322,62.87,14224,61.31,14791,62.2,15125,61.63,15313,60.1,15908,61.22,16635,62.19,16960,61.83,-5.56
UKD35,12292,83.6,13051,85.45,13899,88.2,14606,88.05,15369,89.48,16155,90.08,16658,88.11,17589,89.3,18085,87.33,18983,87.41,19626,86.69,19885,85.99,19800,88.05,19704,86.5,19606,84.5,20173,84.83,19947,81.28,19393,76.11,19538,75.18,20104,75.16,20399,74.37,-9.23
UKD34,14681,99.84,15722,102.94,16737,106.21,17339,104.53,18748,109.16,19679,109.73,20495,108.41,21969,111.54,22528,108.78,24012,110.56,24640,108.83,24677,106.72,24828,110.42,24847,109.08,24745,106.65,25510,107.28,26679,108.71,26880,105.49,27842,107.14,28937,108.18,29443,107.34,7.5
UKI41,14049,95.55,14653,95.94,15038,95.43,16131,97.24,16561,96.43,16824,93.81,17632,93.27,18641,94.64,19883,96.01,20371,93.8,21655,95.65,21211,91.73,20845,92.7,20951,91.98,21693,93.5,22977,96.62,22799,92.9,22981,90.19,22737,87.49,23646,88.4,24659,89.9,-5.65
UKI43,24638,167.56,26285,172.1,27750,176.1,30411,183.33,31533,183.6,32366,180.47,34303,181.45,36463,185.13,38963,188.15,39552,182.12,42883,189.41,44671,193.18,42172,187.55,42546,186.78,43262,186.46,43683,183.7,44060,179.54,45278,177.7,45400,174.7,46408,173.49,47272,172.34,4.78
UKI74,20499,139.41,21939,143.65,23188,147.15,24350,146.79,24418,142.17,25197,140.5,26646,140.95,27121,137.7,27883,134.64,28358,130.57,29631,130.88,29642,128.19,27026,120.19,27441,120.47,27275,117.55,28589,120.22,30309,123.5,33805,132.67,32983,126.92,32857,122.83,34208,124.71,-14.7
UKC11,11979,81.47,12254,80.23,12937,82.1,13053,78.69,13098,76.26,13673,76.24,14650,77.49,15832,80.38,16674,80.52,17150,78.97,17284,76.34,17508,75.71,17649,78.49,17376,76.28,17627,75.97,17729,74.55,18182,74.09,19756,77.54,19533,75.16,19363,72.39,20005,72.93,-8.54
UKH36,13578,92.34,13985,91.57,13986,88.75,14781,89.11,15759,91.76,16381,91.34,17955,94.97,18140,92.1,18864,91.09,20143,92.75,21240,93.82,21379,92.45,21335,94.88,21254,93.31,21496,92.65,21714,91.31,22280,90.79,23212,91.1,24246,93.3,24664,92.21,25854,94.25,1.91
UKG11,12494,84.97,12343,80.82,13242,84.03,13782,83.08,13790,80.29,13970,77.9,15355,81.22,15814,80.29,16619,80.25,17591,81,17861,78.89,18411,79.62,17188,76.44,17288,75.89,18279,78.78,19104,80.34,19256,78.46,19912,78.15,19876,76.48,19529,73.01,20301,74.01,-10.96
